EQID,Earthquake Name,Moment Magnitude,Magnitude Type,Finite Fault Flag,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Total Fault Length (km),Total Fault Width (km),Total Rectangular Fault Area (km*km),Number of fault rectangular segments,Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner (ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km)
131,"Kozani, Greece-02",5.10,Mw,0,40.083,21.591,8.7,4.3,3.5,15.2,1,1,59,33,4.3,3.5,-118,40.0937,21.5524,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Kozani, Greece-03",5.30,Mw,0,40.074,21.626,5.4,4.8,6,28.6,1,1,57.9,42,4.8,6,-90,40.0722,21.5729,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Kozani, Greece-04",5.10,Mw,0,40.054,21.58,6.8,4.2,3.8,15.9,1,1,265,48,4.2,3.8,-56,40.0349,21.6114,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Dinar, Turkey",6.40,Mw,1,38.06,30.15,5,12.6,13.3,167.5,1,1,130,45,12.6,13.3,-94,38.1552,30.0952,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Gulf of Aqaba,7.20,Mw,1,28.76,34.66,12.5,54,25,1349.8,1,1,201,78,54,25,0,29.1715,34.8679,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Kocaeli, Turkey",7.35,Mw,1,40.748,29.99,16,137.5,20.3,2788.4,12,1,270,80,4,20.3,180,40.761,31.0019,0,2,272.3,80,1.3,20.3,180,40.7614,30.9545,0,3,245.2,80,28,20.3,180,40.762,30.939,0,4,329.9,80,4.2,20.3,180,40.6585,30.6364,0,5,275.4,80,28,20.3,180,40.691,30.612,0,6,319.9,80,1,20.3,180,40.716,30.2817,0,7,269.8,80,28,20.3,180,40.723,30.274,0,8,327.4,80,0.5,20.3,180,40.7225,29.942,0,9,270.8,80,9,20.3,180,40.726,29.939,0,10,262.5,80,20,20.3,180,40.727,29.832,0,11,303.2,80,5.5,20.3,180,40.703,29.597,0,12,262.5,80,8,20.3,180,40.73,29.542,0
137,"Chi-Chi, Taiwan-01",7.62,Mw,1,23.85,120.82,8,88,37,3462,9,1,34.6,30,11.7,40,55,23.6253,120.6349,0,2,0.7,34,23.9,35.8,55,23.7122,120.7001,0,3,330.2,45,4,28.3,55,23.9269,120.7029,0,4,7.1,32,11.6,37.7,55,23.9581,120.6833,0,5,50.5,30,3.8,40,55,24.0613,120.6972,0,6,0.7,30,16.8,40,55,24.083,120.726,0,7,30.2,28,5.8,42.6,55,24.234,120.728,0,8,81.9,45,6.7,28.3,55,24.2794,120.757,0,9,19.4,30,3.7,40,55,24.2879,120.8222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Duzce,7.14,Mw,1,40.8345,31.1346,14,46.8,20,949.4,4,1,278.6,65,16.5,20,182,40.756,31.4679,0,2,271.1,65,8.9,20,182,40.7787,31.2742,0,3,254.2,65,9.5,20,182,40.7804,31.1686,0,4,269.7,65,11.9,20,182,40.7571,31.0598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Stone Canyon,4.81,Mw,0,36.569,-121.301,8,3,3.7,11.1,1,1,315,67,3,3.7,-136,36.5557,-121.2976,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Sitka, Alaska",7.68,Mw,1,56.77,-135.784,15,180,15,2700,1,1,347,90,180,15,180,56.45,-135.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Caldiran, Turkey",7.21,Mw,1,39.015,44,10,55,18,990,1,1,290,90,55,18,180,38.986,44.103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"St Elias, Alaska",7.54,Mw,1,60.64,-141.59,12.2,56.1,70.4,3948,1,1,250,10,56.1,70.4,90,60.214,-140.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Upland,5.63,Mw,0,34.1437,-117.6973,4.5,13.3,9.8,131.1,1,1,216,77,13.3,9.8,5,34.2102,-117.6274,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Manjil, Iran",7.37,Mw,1,36.8358,49.3918,16,71.6,16,1147.2,7,1,298.4,88,9,16,-9,36.688,49.831,0,2,279.2,88,6.8,16,-9,36.727,49.742,0,3,304.5,88,10.2,16,-9,36.737,49.667,0,4,277.5,88,10.1,16,-9,36.789,49.573,0,5,310.1,88,4.7,16,-9,36.801,49.461,0,6,276.6,88,16.6,16,-9,36.828,49.421,0,7,292,88,14.3,16,-9,36.845,49.236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Sierra Madre,5.61,Mw,1,34.2591,-118.001,12,4.3,3.9,16.8,1,1,242,50,4.3,3.9,82,34.248,-117.987,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Joshua Tree, CA",6.10,Mw,1,33.96,-116.3167,12.4,8,10.5,84,1,1,340,90,8,10.5,180,33.9558,-116.3149,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Northridge-02,6.05,Mw,0,34.2748,-118.4925,6,10.3,8.5,86.7,1,1,6.1,40,10.3,8.5,90,34.2309,-118.5266,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Northridge-03,5.20,Mw,0,34.3397,-118.6143,6,4.1,3.2,12.9,1,1,119,40,4.1,3.2,90,34.3532,-118.6268,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Northridge-04,5.93,Mw,0,34.3263,-118.6983,9.8,8.3,7.1,59.2,1,1,330,40,8.3,7.1,148,34.2806,-118.7049,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Northridge-05,5.13,Mw,0,34.3765,-118.6982,11.3,4.4,3.4,14.7,1,1,303.9,54,4.4,3.4,145,34.3594,-118.6884,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Northridge-06,5.28,Mw,0,34.2313,-118.475,13.1,4.1,4.8,19.6,1,1,308,40,4.1,4.8,106,34.2025,-118.4746,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Little Skull Mtn,NV",5.65,Mw,1,36.728,-116.286,12,6,6,36,1,1,60,70,6,6,-70,36.744,-116.2975,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Northwest China-01,5.90,Mw,0,39.5444,76.8794,23.1,12,5.9,71,1,1,161,68,12,5.9,-171,39.5942,76.8779,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Northwest China-02,5.93,Mw,0,39.5409,77.0021,31,8.1,13.6,110.2,1,1,203,30,8.1,13.6,-82,39.5369,77.11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Northwest China-03,6.10,Mw,0,39.5557,76.9477,20,14.4,11.8,169.2,1,1,21,45,14.4,11.8,-89,39.5033,76.8549,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Northwest China-04,5.80,Mw,0,39.62,76.9819,22.4,7.6,8,61.1,1,1,55,43,7.6,8,-46,39.6449,76.9095,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,San Juan Bautista,5.17,Mw,0,36.7533,-121.4622,9.1,3,3.1,9.1,1,1,129,85,3,3.1,-171,36.7662,-121.4785,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158a,Hector Mine,7.13,Mw,1,34.5981,-116.2645,14.8,30,16.2,486.1,1,1,346,85,30,16.2,179,34.464,-116.238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158b,Hector Mine,0.00,Mw,1,34.6094,-116.2506,14.8,21,16.2,340.2,1,1,322,75,21,16.2,179,34.57,-116.268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158c,Hector Mine,0.00,Mw,1,34.4719,-116.2299,14.8,18,16.2,291.6,1,1,322,85,18,16.2,179,34.378,-116.159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Yountville,5.00,Mw,0,38.3788,-122.4127,10.1,3.5,3.2,10.9,1,1,150,90,3.5,3.2,170,38.3933,-122.4234,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Big Bear-02,4.53,Mw,0,34.2895,-116.9458,9.1,1.8,1.5,2.6,1,1,25,90,1.8,1.5,11,34.2819,-116.9501,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Mohawk Val, Portola",5.17,Mw,0,39.8105,-120.6165,4,6.6,5.2,34.3,1,1,326,81,6.6,5.2,-173,39.7938,-120.6106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Anza-02,4.92,Mw,0,33.5083,-116.5143,15.2,2.8,3.9,10.9,1,1,226.1,78,2.8,3.9,-32,33.5132,-116.4992,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Gulf of California,5.70,Mw,0,32.037,-114.906,10,4.6,5.5,25.1,1,1,122.9,59,4.6,5.5,-163,32.0694,-114.9287,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,CA/Baja Border Area,5.31,Mw,0,32.3188,-115.3215,7,10.1,7.1,72.1,1,1,0,74,10.1,7.1,-23,32.2488,-115.33,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Gilroy,4.90,Mw,0,36.9667,-121.5987,10.1,2.4,3.7,9.1,1,1,301.8,84,2.4,3.7,-177,36.9612,-121.5926,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Yorba Linda,4.27,Mw,0,33.9173,-117.7758,7,1.4,1.5,2.1,1,1,32.9,88.3,1.4,1.5,13,33.9119,-117.7804,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Nenana Mountain, Alaska",6.70,Mw,1,63.516,-148.11,4.2,30,15,450,1,1,263,90,30,15,179,63.5375,-147.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169a,"Denali, Alaska",7.90,Mw,1,63.542,-147.4444,8.9,45.1,24,852.5,3,1,214.8,32,5.2,24,90,63.5277,-146.969,0,2,238.3,32,15.2,24,90,63.4891,-147.029,0,3,268,32,24.7,24,90,63.4168,-147.289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169b,"Denali, Alaska",7.90,Mw,1,63.5424,-146.9633,9.7,213.7,15,3217.3,8,1,302.3,80,10.4,15,171,62.8117,-143.267,0,2,297.1,80,24.6,15,171,62.8661,-143.434,0,3,295.8,80,56.4,15,171,62.9765,-143.854,0,4,289.2,80,34.2,15,171,63.2149,-144.842,0,5,298.1,80,22.7,15,171,63.3237,-145.481,0,6,286,80,16,15,171,63.4235,-145.879,0,7,279.9,80,39.5,15,171,63.4651,-146.187,0,8,271.5,80,9.9,15,171,63.5277,-146.969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169c,"Denali, Alaska",7.90,Mw,1,62.7917,-143.298,9.7,67.9,15,1019.2,5,1,318.9,90,11.6,15,171,62.3093,-142.539,0,2,2,90,4.1,15,171,62.3923,-142.675,0,3,315.7,90,23.7,15,171,62.4293,-142.667,0,4,310.1,90,14.7,15,171,62.5909,-142.968,0,5,329.9,90,13.7,15,171,62.6821,-143.177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Big Bear City,4.92,Mw,0,34.31,-116.848,6.3,2.9,2.4,7.2,1,1,139.1,72,2.9,2.4,-174,34.3225,-116.8544,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Chi-Chi, Taiwan-02",5.90,Mw,1,23.94,121.01,8,19,13,247,1,1,35,50,19,13,100,23.8878,120.9545,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Chi-Chi, Taiwan-03",6.20,Mw,1,23.81,120.85,7.8,10,11,110,1,1,360,10,10,11,80,23.7605,120.7875,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Chi-Chi, Taiwan-04",6.20,Mw,1,23.6,120.82,18,21.5,17.5,376.3,1,1,330,89,21.5,17.5,15,23.5014,120.8789,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Chi-Chi, Taiwan-05",6.20,Mw,1,23.81,121.08,10,17.5,19,332.4,1,1,165,70,17.5,19,100,23.8987,121.0625,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Chi-Chi, Taiwan-06",6.30,Mw,1,23.87,121.01,16,29,20,580,1,1,5,30,29,20,100,23.7439,120.8954,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Tottori, Japan",6.60,Mw,1,35.275,133.35,12.5,38,20,760,1,1,330,90,38,20,0,35.1271,133.4544,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"San Simeon, CA",6.50,Mw,1,35.697,-121.085,8.5,33,10.2,335,1,1,292,52,33,10.2,97,35.5483,-120.7834,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Bam, Iran",6.50,Mw,1,28.984,58.359,6,15,11.6,174.1,1,1,354.6,85.5,15,11.6,-177,28.9748,58.3563,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Parkfield, CA",6.00,Mw,1,35.817,-120.365,8.1,40,8,320,1,1,141,89,40,8,-175,36.0269,-120.5739,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Niigata, Japan",6.60,Mw,1,37.307,138.839,10.6,24,14,336,1,1,212,47,24,14,93,37.3768,138.9758,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Ancona-01, Italy",4.00,ML,0,43.7,13.41,10,0.7,0.8,0.6,1,1,293.4,55,0.7,0.8,-90,43.695,13.4122,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Ancona-02, Italy",4.60,ML,0,43.63,13.56,8,2.4,1.4,3.5,1,1,9,55,2.4,1.4,-90,43.6208,13.5477,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Ancona-03, Italy",4.40,ML,0,43.73,13.38,8,1.4,1.8,2.6,1,1,211.4,55,1.4,1.8,-90,43.7345,13.3933,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Ancona-04, Italy",4.10,ML,0,43.7,13.4,10,1.7,1.6,2.6,1,1,344,55,1.7,1.6,-90,43.6911,13.393,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Ancona-05, Italy",4.30,ML,0,43.72,13.4,10,2,1.3,2.6,1,1,219.6,55,2,1.3,-90,43.7227,13.4117,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Ancona-06, Italy",4.30,ML,0,43.7,13.43,5,1.7,1.3,2.3,1,1,121.6,55,1.7,1.3,-90,43.709,13.4255,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Ancona-07, Italy",3.90,ML,0,43.7,13.4,10,0.9,0.9,0.8,1,1,238.1,55,0.9,0.9,-90,43.6983,13.4067,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Ancona-08, Italy",3.90,ML,0,43.68,13.4,12,0.8,1,0.8,1,1,279.6,55,0.8,1,-90,43.6757,13.4034,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Ancona-09, Italy",4.70,ML,0,43.65,13.61,8,2.7,2.5,6.7,1,1,17,90,2.7,2.5,0,43.6424,13.6068,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Ancona-10, Italy",4.30,ML,0,43.63,13.5,8,1.4,2.1,3,1,1,270.9,55,1.4,2.1,-90,43.6231,13.5139,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"Ancona-11, Italy",4.00,ML,0,43.6,13.5,4,1.3,0.9,1.2,1,1,131.2,55,1.3,0.9,-90,43.6097,13.4936,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"Friuli (aftershock 1), Italy",5.20,Mw,0,46.245,13.269,9,6.1,3,18.5,1,1,59.5,40,6.1,3,90,46.2587,13.2546,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Friuli (aftershock 2), Italy",4.90,Mw,0,46.258,12.985,6,2,3.2,6.6,1,1,344.7,40,2,3.2,90,46.2479,12.9784,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Friuli (aftershock 3), Italy",4.50,Mw,0,46.27,13.03,7,2.6,3,7.8,1,1,68.2,40,2.6,3,90,46.28,13.0019,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Friuli (aftershock 4), Italy",4.50,Mw,0,46.26,13.01,13,2.8,2.7,7.5,1,1,233.3,40,2.8,2.7,90,46.2639,13.0329,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"Friuli (aftershock 5), Italy",4.70,Mw,0,46.23,13,9,2.7,2.3,6.1,1,1,310.8,40,2.7,2.3,90,46.2191,12.9989,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
