EQID,Earthquake Name,Moment Magnitude,Magnitude Type,Finite Fault Flag,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Total Fault Length (km),Total Fault Width (km),Total Rectangular Fault Area (km*km),Number of fault rectangular segments,Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner (ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km)
21,Central Calif-02,5.00, U,0,36.783,-121.433,7.4,3.8,3.1,12.1,1,1,324.7,90,3.8,3.1,0,36.7662,-121.4182,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Northern Calif-04,5.70,Mw,0,40.817,-124.883,10,9.7,8.4,81,1,1,314.9,90,9.7,8.4,0,40.8047,-124.8667,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Hollister-01,5.60, U,0,36.683,-121.3,7.4,7.7,8.9,68.5,1,1,269,90,7.7,8.9,0,36.6837,-121.2476,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Hollister-02,5.50, U,0,36.7,-121.3,7.4,7.1,7.6,54,1,1,19.8,90,7.1,7.6,0,36.6633,-121.3165,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Parkfield,6.19,Mw,1,35.955,-120.4983,10,24.9,12,299.3,2,1,137.1,90,15.9,12,180,35.955,-120.4983,0,2,145.8,90,9.1,12,180,35.8506,-120.3786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Northern Calif-05,5.60,Mw,0,40.5,-124.6,10,8.3,8.6,72.1,1,1,312,90,8.3,8.6,180,40.4684,-124.5539,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Northern Calif-06,5.20, U,0,37.01,-121.788,7.4,3,2.9,8.7,1,1,70.7,90,3,2.9,0,37.0089,-121.792,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Borrego Mtn,6.63,Mw,1,33.189,-116.143,8,30,12,360.1,1,1,317,78,30,12,-178,33.0083,-115.9667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lytle Creek,5.33,Mw,0,34.2698,-117.54,8,4.5,3.8,17.2,1,1,325,48,4.5,3.8,59,34.2421,-117.5449,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30a,San Fernando,6.61,Mw,1,34.44,-118.41,13,16,16.1,257.7,1,1,290,54,16,16.1,83,34.3467,-118.3318,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b,San Fernando,6.61,Mw,1,34.3877,-118.4101,8,16,11.3,181,1,1,285,45,16,11.3,83,34.2943,-118.3244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Managua, Nicaragua-01",6.24,Mw,1,12.15,-86.27,5,11.5,6,69,1,1,40,80,11.5,6,0,12.1289,-86.2943,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Managua, Nicaragua-02",5.20, U,0,12.15,-86.27,5,3.6,3.6,13.1,1,1,40,80,3.6,3.6,0,12.142,-86.2823,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Point Mugu,5.65,Mw,0,34.065,-119.035,8,7.8,4.2,32.6,1,1,249,49,7.8,4.2,75,34.0595,-118.9857,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Hollister-03,5.14,Mw,0,36.9202,-121.4663,6.1,2.9,3.3,9.5,1,1,272,90,2.9,3.3,0,36.9197,-121.448,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Northern Calif-07,5.20,Mw,0,40.57,-124.14,21,4.1,4.3,17.5,1,1,75,72,4.1,4.3,0,40.5734,-124.166,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Oroville-01,5.89,Mw,0,39.439,-121.528,5.5,6.3,5,31.4,1,1,180,65,6.3,5,-70,39.4803,-121.5079,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Oroville-02,4.79,Mw,0,39.44,-121.46,3.6,3.1,4.2,12.8,1,1,166,50,3.1,4.2,-69,39.4593,-121.4359,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Oroville-04,4.37,Mw,0,39.433,-121.475,5.1,1.8,1.6,2.9,1,1,180,58,1.8,1.6,-59,39.4404,-121.4663,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Oroville-03,4.70,Mw,0,39.502,-121.512,7.6,2.5,2.4,6.2,1,1,177.1,46,2.5,2.4,-91,39.5144,-121.4943,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Friuli, Italy-01",6.50,Mw,1,46.345,13.24,5.1,13,13.7,178,1,1,251.8,11.8,13,13.7,80,46.2487,13.3747,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Gazli, USSR",6.80,Mw,1,40.465,63.462,18.2,22.5,17,382.6,1,1,267,58,22.5,17,90,40.391,63.616,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Fruili, Italy-03",5.50,Mw,0,46.3,13.23,6,4,7.3,29.6,1,1,233,16,4,7.3,75,46.2807,13.2638,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Friuli, Italy-02",5.91,Mw,1,46.375,13.067,3.7,4.9,8.3,40.7,1,1,215.1,18.9,4.9,8.3,70,46.3524,13.1687,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Izmir, Turkey",5.30, U,0,38.41,27.19,5,3.4,2.7,9.2,1,1,310.2,53,3.4,2.7,-90,38.3847,27.2031,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Santa Barbara,5.92,Mw,1,34.3987,-119.6813,12.7,10,5,50,1,1,295,30,10,5,57,34.3831,-119.6901,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Tabas, Iran",7.35,Mw,1,33.215,57.323,5.8,90,35,3149.7,1,1,330,25,90,35,110,33.0167,57.333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Dursunbey, Turkey",5.34,Mw,0,39.66,28.65,7,4.8,2.5,12.2,1,1,111,34,4.8,2.5,-85,39.677,28.6479,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Coyote Lake,5.74,Mw,1,37.065,-121.49,8,6.6,7,46.2,1,1,336,80,6.6,7,176,37.0282,-121.4802,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Norcia, Italy",5.90,Mw,0,42.73,12.96,6,14.9,7.1,106.5,1,1,315,64,14.9,7.1,-100,42.6485,13.031,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Imperial Valley-06,6.53,Mw,1,32.644,-115.307,10,50,13,649.9,1,1,323,80,50,13,180,32.5493,-115.2457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Imperial Valley-07,5.01,Mw,0,32.7667,-115.4413,9.5,3.6,4.2,15.3,1,1,319.9,90,3.6,4.2,180,32.7539,-115.4285,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Imperial Valley-08,5.62,Mw,0,33.022,-115.506,3.3,8.5,4,34.3,1,1,157,90,8.5,4,180,33.0826,-115.5367,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Livermore-01,5.80,Mw,0,37.855,-121.816,12,7.4,7.4,54.6,1,1,167,85,7.4,7.4,160,37.8952,-121.8227,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Livermore-02,5.42,Mw,0,37.737,-121.74,14.5,5.6,4.2,23.5,1,1,321,70,5.6,4.2,161,37.7083,-121.7272,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Anza (Horse Canyon)-01,5.19,Mw,0,33.505,-116.514,13.6,3.7,3.6,13.2,1,1,308,70,3.7,3.6,170,33.4878,-116.5055,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Mammoth Lakes-01,6.06,Mw,1,37.609,-118.846,9,15,10,150,1,1,12,50,15,10,-35,37.5551,-118.934,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Mammoth Lakes-02,5.69,Mw,1,37.628,-118.927,14,10,6,60,1,1,90,90,10,6,0,37.628,-118.9724,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Mammoth Lakes-03,5.91,Mw,0,37.561,-118.831,16,8.8,5.2,45.9,1,1,15,50,8.8,5.2,-11,37.5189,-118.8845,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
