,Magnitude,lat,long,depth (km)
"M 2.7 - 5km WNW of Brawley, CA",2.69,-115.5766667,32.9926667,14.189
"M 0.8 - 8km N of Anza, CA",0.78,-116.6573333,33.6265,12.126
"M 1.0 - 11km SW of Morongo Valley, CA",0.96,-116.6685,33.9743333,8.545
"M 1.5 - 6km NW of Rialto, CA",1.46,-117.4135,34.143,7.239
"M 1.6 - 14km N of Yucca Valley, CA",1.62,-116.4521667,34.2356667,12.0
"M 0.7 - 6km SE of Banning, CA",0.74,-116.8391667,33.8803333,12.451
"M 0.9 - 17km NNE of Borrego Springs, CA",0.92,-116.2908333,33.394,11.614
"M 0.8 - 12km SE of Anza, CA",0.83,-116.567,33.4911667,7.579
"M 1.3 - 3km WNW of Cabazon, CA",1.3,-116.8186667,33.9321667,5.938
"M 1.5 - 3km WNW of Cabazon, CA",1.45,-116.8163333,33.9325,6.328
"M 0.6 - 15km SE of Anza, CA",0.59,-116.5758333,33.4486667,10.931
"M 3.4 - 5km NNE of Beaumont, CA",3.44,-116.9643333,33.9755,13.573
"M 1.3 - 6km NNE of Beaumont, CA",1.3,-116.9545,33.9748333,14.162
"M 1.3 - 5km NNE of Beaumont, CA",1.33,-116.9585,33.9755,15.395
"M 0.7 - 7km NNE of Beaumont, CA",0.65,-116.9435,33.985,5.994
"M 0.8 - 8km SW of Niland, CA",0.8,-115.5853333,33.1946667,0.124
"M 1.8 - 5km NNE of Beaumont, CA",1.81,-116.9625,33.9751667,13.765
"M 1.2 - 20km ESE of Anza, CA",1.17,-116.4705,33.4915,9.944
"M 0.8 - 2km SSW of Aguanga, CA",0.82,-116.8728333,33.4238333,3.121
"M 0.5 - 12km S of Anza, CA",0.54,-116.6865,33.4433333,12.24
"M 0.5 - 8km SSW of Idyllwild, CA",0.47,-116.7541667,33.6713333,18.367
"M 1.2 - 11km ESE of Piru, CA",1.2,-118.6873333,34.3726667,17.299
"M 1.6 - 20km ESE of Anza, CA",1.57,-116.4786667,33.4716667,11.384
"M 1.2 - 4km WSW of Borrego Springs, CA",1.19,-116.417,33.2456667,2.413
"M 1.8 - 1km N of Panorama City, CA",1.82,-118.4455,34.2345,12.547
"M 0.2 - 6km SE of Valle Vista, CA",0.2,-116.8396667,33.712,14.284
"M 0.6 - 6km ESE of Valle Vista, CA",0.6,-116.836,33.716,15.211
"M 0.7 - 4km ENE of Beaumont, CA",0.69,-116.9315,33.9446667,5.636
"M 1.2 - 4km W of Borrego Springs, CA",1.16,-116.4233333,33.251,2.023
"M 0.9 - 13km SE of Anza, CA",0.89,-116.5841667,33.4665,10.359
"M 0.6 - 11km ESE of Anza, CA",0.59,-116.5728333,33.5025,7.599
"M 3.2 - 5km SE of Oxnard, CA",3.19,-119.1415,34.1631667,3.105
"M 1.9 - 12km SW of Valencia, CA",1.87,-118.661,34.3723333,14.68
"M 1.1 - 17km NNW of Borrego Springs, CA",1.05,-116.4233333,33.3996667,12.175
"M 1.6 - 10km NNE of Borrego Springs, CA",1.58,-116.346,33.3465,12.223
"M 1.2 - 12km NNE of Borrego Springs, CA",1.23,-116.3198333,33.355,7.658
"M 2.4 - 10km NNE of Borrego Springs, CA",2.4,-116.3488333,33.3441667,12.223
"M 1.0 - 11km NNE of Borrego Springs, CA",0.95,-116.336,33.3463333,12.268
"M 1.0 - 9km ENE of Borrego Springs, CA",0.97,-116.2878333,33.2865,9.225
"M 0.6 - 3km SSW of Aguanga, CA",0.58,-116.8721667,33.4148333,4.707
"M 1.3 - 18km SSW of Ocotillo, CA",1.27,-116.1001667,32.5956667,12.985
"M 1.1 - 18km NNW of Borrego Springs, CA",1.11,-116.4145,33.4106667,13.016
"M 2.3 - 9 km WNW of Monticello, Georgia",2.3,-83.778,33.3208333,0.42
"M 2.8 - 2km E of Lytle Creek, CA",2.75,-117.473,34.261,12.985
"M 1.6 - 3km WNW of Lennox, CA",1.64,-118.3866667,33.9491667,15.674
"M 1.5 - 3km E of Lytle Creek, CA",1.53,-117.4713333,34.26,10.671
"M 0.3 - 10km S of Idyllwild, CA",0.34,-116.7191667,33.6531667,13.505
"M 1.6 - 3km W of Lennox, CA",1.55,-118.3866667,33.94,16.018
"M 1.1 - 14km WNW of Calipatria, CA",1.12,-115.6571667,33.1735,0.273
"M 1.1 - 10km NNE of Sunland, CA",1.06,-118.262,34.3373333,8.772
"M 0.6 - 12km WNW of Anza, CA",0.55,-116.7995,33.5825,8.03
"M 0.2 - 12km ESE of Anza, CA",0.24,-116.5641667,33.494,8.019
"M 0.8 - 14km S of Bombay Beach, CA",0.8,-115.7376667,33.2281667,6.063
"M 1.0 - 18km N of Borrego Springs, CA",1.04,-116.3688333,33.4206667,13.948
"M 0.9 - 18km N of Borrego Springs, CA",0.88,-116.3548333,33.42,12.698
